detectedDuplicate,detectedCorruption,firstInSession,timestamp,clientTimestamp,remoteHost,referer,location,screenPixelWidth,screenPixelHeight,partyId,sessionId,pageViewId,eventType,userAgentString,userAgentName,userAgentFamily,userAgentVendor,userAgentType,userAgentVersion,userAgentDeviceCategory,userAgentOsFamily
false,false,false,1587713271894,1587713271886,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713272365,1587713272358,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713272787,1587713272779,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713273115,1587713273107,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713273769,1587713273760,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713274073,1587713274064,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713274341,1587713274333,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713274487,1587713274479,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713274590,1587713274586,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713275315,1587713275306,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713276179,1587713276171,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713276803,1587713276796,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713277457,1587713277450,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713278140,1587713278133,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713278809,1587713278801,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713279462,1587713279455,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713280089,1587713280079,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713280661,1587713280653,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713281461,1587713281453,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713282077,1587713282070,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
false,false,false,1587713282702,1587713282695,172.19.0.1,,http://localhost:8290/,1853,1053,0:k9duj4wz:l2cMkdzssvEhvgbea2QmbuiOvHo~f_i7,0:k9duj4wz:~k8df~6mjcmT806u148_wd2OAl4GC5OK,0:tYIXS7bhcp_bgreyTQEz6rANEgSyNnUt,bannerClick,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,79.0.3945.88,Personal computer,Linux
